NOM_RBD,COD_COM_RBD,PROM_GRAL,ASISTENCIA
COLEGIO CAPITAN PASTENE,13110.0,5.703428571428572,80.62857142857143
COLEGIO CARAMPANGUE,13601.0,5.400936768149882,82.72716627634661
COLEGIO CASTELGANDOLFO,13604.0,6.235798122065727,93.10328638497653
COLEGIO CENTENARIO,13119.0,5.75990099009901,88.9009900990099
COLEGIO CENTRO EDUC. Y FAMILIAR PTE ALTO,13201.0,3.896078431372549,34.583333333333336
COLEGIO CENTRO EDUCACIONAL ALTAIR,13604.0,5.858342665173573,64.42553191489361
COLEGIO CENTRO EDUCACIONAL ROUSSEAU,13119.0,5.633843212237093,79.02103250478011
COLEGIO CHRISTIAN GARDEN SCHOOL,13111.0,5.834035957842529,88.64104153750775
COLEGIO CIENTIFICO HUMANISTA ALVARO COVARRUBIAS,13108.0,5.642412451361867,85.84824902723736
COLEGIO CIUDAD DE FRANKFORT,13129.0,6.131927710843373,89.69277108433735
COLEGIO CIUDADELA MONTESSORI DE LAS CONDES,13114.0,5.5035398230088495,80.54867256637168
COLEGIO COMERCIAL DE PENAFLOR,13605.0,5.050980392156863,79.26050420168067
COLEGIO COMPANIA DE MARIA APOQUINDO,13114.0,6.429814814814814,93.63055555555556
COLEGIO COMPANIA DE MARIA-SEMINARIO,13123.0,6.430703259005146,96.85591766723842
COLEGIO CORAZON DE JESUS,13126.0,6.177282377919321,83.01486199575372
COLEGIO CORAZON DE JESUS DE RENCA,13128.0,5.773006134969325,82.39263803680981
COLEGIO CORAZONES DE JESUS,13116.0,5.416666666666667,78.59375
COLEGIO CORDILLERA,13201.0,5.533333333333334,89.43691899070384
COLEGIO CORDILLERA DE LAS CONDES,13114.0,6.402994791666667,94.25390625
COLEGIO CORONEL ELEUTERIO RAMIREZ MOLINA,13113.0,5.917805065234075,69.2900997697621
COLEGIO COYANCURA,13114.0,6.11660777385159,98.58657243816255
COLEGIO CRAIGHOUSE,13115.0,6.32635094110504,91.71888281724347
COLEGIO CRECES,13114.0,0.0,0.0
COLEGIO CRISOL,13110.0,5.470110701107012,86.03321033210332
COLEGIO CRISTIAN AND CAREN SCHOOL,13103.0,5.825937031484258,82.7631184407796
COLEGIO CRISTIANO BELEN,13201.0,5.883682983682983,76.83916083916084
COLEGIO CRISTIANO BETHEL  N 3,13110.0,5.826388888888889,77.5
COLEGIO CRISTIANO BETHEL II,13105.0,5.773630136986302,84.76712328767124
COLEGIO CRISTIANO EMMANUEL,13110.0,5.97737556561086,88.64932126696833
COLEGIO CRISTOBAL COLON,13104.0,5.990561224489796,86.10586734693878
COLEGIO CRISTOBAL COLON DE MELIPILLA,13501.0,6.25668449197861,93.90106951871658
